abandon	放弃；放纵
understatement	轻描淡写的陈述，不充分的陈述
unederstudy	预备演员，替角；充当…的替角
underutilized	未充分利用的
underwrite	同意负担…的费用；为…保险
undeserved	不应得的
undesirable	令人不悦的，讨厌的
undirected	未受指导的
unearth	挖出；发现
unearthly	奇异的
unenlightened	愚昧无知的；不文明的
unexceptionable	无可非议的
unfailing	无尽的，无穷的
unfasten	解开
unfeigned	真实的；不作假的
unflappable	不惊慌的，镇定的
unfold	展开，打开；逐渐呈现
unfounded	无事实根据的
ungainly	笨拙的
ungrudging	慷慨的
unguent	药膏，软膏
unicorn	独角兽
unidimendional	一方面的；一维的
unification	统一，一致
uniform	制服；相同的，一致的
unify	统一，使成一体；使相同
unimpassioned	没有激情的
unimpeachable	无可指责的，无可置疑的
uninitiated	外行的，缺乏经验的
unique	独一无二的，独特的；无与伦比的
univocal	意思明确的，单一意思的
unjustified	未被证明为正当的，无法解释的
unjustly	不义地，不法地
unkempt	不整洁的
unleash	发泄，解释
unmitigated	未缓和的，未减轻的；全然的
unmoved	无动于衷的，冷漠的；镇定的
unnoticed	不引人注意的
unobtrusive	不引人注目的
unpalatable	令人讨厌的
unprecedented	前所未有的
unpremeditated	非预谋的
unprepossessing	不吸引人的
unpretentious	不炫耀的
unprincipled	肆无忌惮的；不道德的
unproductive	徒然的，无成效的
unprovoked	无缘无故的
unqualified	无资格的；无限制的，绝对的
unravel	解开，拆散
unregenerate	不知悔改的
unregulated	未受管理的，未受约束的
unremitting	不间断的，持续的
unrepentant	不悔悟的，不后悔的
unrequited	无报答的
unreserved	无限制的；未被预订的
unscathed	未受损伤的，未遭伤害的
unscented	无气味的
unscrupulous	肆无忌惮的
unscrupulousness	狂妄，肆无忌惮
unseemly	不适当的，不宜的
unsettle	使不安宁，搅乱
unsettling	令人不安的，扰乱的；使窘困的
unsound	不结实的，不坚固的；无根据的
unspoiled	未损坏的；未宠坏的
unspotted	清白的，无污点的
unstinting	极为慷慨的，大方的
unsubstantiated	未经证实的，无事实根据的
untapped	未开发的，未利用的
unthreatening	不威胁的
untimely	过早的；不适时的
untold	无数的，数不清的
untoward	不幸的；没料到的
untutored	未经教育的
unwarranted	没有根据的
unwieldy	笨重的，笨拙的
unwitting	无心的，不经意的
unwonted	不寻常的，不习惯的
unoworldly	非世俗的；精神上的
upbraid	斥责，责骂
upgrade	提升，给…升级
upheaval	动乱，大变动
uphold	维护，支持
upright	垂直的；正直的
uproar	喧闹，骚动
uproaious	骚动的，喧嚣的；令人捧腹的
upstage	骄傲的，高傲的
upswing	上升，增长
urgent	迫切的，紧急的
usurp	篡夺，霸占
usury	高利贷
utilitarian	功利的，实利的
utilize	利用，使用
utopia	理想国，理想的完美境界
utopian	乌托邦式的，梦想的
utter	完全的
vaccinate	给……接种疫苗
vaccine	牛痘苗，疫苗
vacillate	游移不定，踌躇
vacuous	发呆的；愚笨的
vagary	奇想，异想天开
vagrancy	游荡，流浪
vagrant	飘泊的；流浪汉，无赖
vague	模糊的
vain	自负的；徒劳的
valediction	告别演说
valedictory	告别的，离别的
valiant	勇敢的，英勇的
validate	使…生效
valorous	勇敢的
valve	活门，阀门
vandalism	恶意破环
vandalize	肆意破坏
vanilla	香草，香子兰
vanity	虚荣，自负
vanquish	征服
vantage	优势，有利地位
vapid	索然无味的
vaporization	蒸发
vaporize	蒸发
vaporous	无实质的
variance	矛盾的；不同
variegate	使…多样化
variegation	杂色，斑驳
varnish	清漆；涂上清漆
vascular	血管的，脉管的
vault	拱顶；地窖
veer	转向，改变
vehicle	交通工具；传播媒介
veil	面纱；遮蔽物，掩蔽物；以面纱掩盖
velocity	速度
venal	惟利是图的，贪赃枉法的
vendetta	世仇，宿怨
vendor	小贩
veneer	镶面板；外表
venerate	崇敬，敬仰
vengeance	报仇，报复
vengeful	报复的，复仇心理的
venial	轻微的，可原谅的
venom	毒液；恶毒，痛恨
vent	发泄；开孔；孔，口
ventilate	使…通风，透风
ventriloquist	口技表演者，会口技的人
veracious	诚实的，说真话的
veracity	真实性；诚实
verbal	口头的
verbiage	啰嗦，冗长
verbose	冗长的，啰嗦的
verdant	青葱的，翠绿的
verdict	判决，决定
verdigris	铜锈，铜绿
verified	检验的，核实的
verify	证明，证实
verisimilar	好像真实的；可能的
veritable	确实的 ，名副其实的
vernacular	本国语，地方语
versatile	多才多艺的；多用途的
verse	诗歌
vertex	顶角；顶点
vertical	垂直的
vertigo	眩晕
verve	神韵；生机
vessel	血管；容器；船只
vestige	痕迹，遗迹
vestigial	退化的
vestment	法衣，官服
veteran	老兵，老手；经验丰富的
veterinary	兽医的
veto	否决；禁止
vex	恼火
vexation	困扰；苦恼
viability	生存能力，存活力
viable	可行的；能活下去的
viaduct	高架桥
vibrancy	生机勃勃，活泼
vibrant	振动的；明快的
vibrate	颤动，振动
vicar	教区牧师
vicarious	替代的，代理的
vicinity	附近；接近
vicious	残酷的，凶猛的
vicissitudinous	有变化的，变迁的
victimize	使受害，迫害
vie	竞争
vigilant	机警的，警惕的
vigorous	精力旺盛的，健壮的
vile	恶劣的，卑鄙的
vilify	辱骂，诽谤
vindicate	为…平凡
vindicative	报复性的
vintner	酒商
violate	违反，触犯
violet	紫罗兰的；紫罗兰
viral	病毒性的
virtual	实质上的，实际上的
virtuosity	精湛技巧，高超
virtuoso	演艺精湛的人
virtuous	有美德的；自命清高的
virulent	剧毒的；恶毒的
virus	病毒
viscid	黏性的
viscous	黏的
visionary	有远见的；幻想的；空想家
vista	远景；展望
vital	极其重要的；充满活力的
vitalize	激发活力
vitiate	削弱，损害
vitrify	使成玻璃
vitriolic	刻薄的
vituperate	痛斥，辱骂
vituperative	辱骂的
vivacious	活泼的，快活的
vivid	清晰的，鲜艳的；大胆的；活泼的；逼真的
vocalist	流行歌手，声乐家
vocation	擅长；工作，职业
vogue	时髦，时尚
void	空的，缺乏的；空隙，空处；空虚感
volatile	反复无常的；挥发性的
volition	决断力，意志
volley	齐发，群射；齐发，群射；截击
voluble	健谈的；易旋转的
voluminous	长篇的；多产的
voluptuous	撩人的；沉溺于酒色的
voracious	狼吞虎咽的，贪婪的
voracity	贪婪
votary	崇拜者，热心支持者
vouch	担保，证明
vulgar	无教养的
vulnerable	易受攻击的
vulture	秃鹰
vying	竞争的
waddle	摇摇摆摆地走
waffle	蛋奶烘饼；胡扯，唠叨
waft	飘浮，飘荡
wag	摆动；诙谐幽默者
wage	开始，进行
waggish	诙谐的，滑稽的
walrus	海象
wan	虚弱的；病态的
wanderlust	漫游癖，旅游热
wane	减少，衰微
want	缺乏，需要
wardrobe	衣橱；全部衣服
warehouse	仓库，货栈
warmonger	好战者，战争贩子
warp	翘起，弯曲
warrant	正当理由；许可证
warranted	保证的；凭正当理由的
warranty	保证；辩解；有正当理由；批准
wary	谨慎的，小心翼翼的
waste	使身体消瘦，损耗
wastrel	挥霍无度的人
watershed	分水岭，转折点
waver	摇摆，犹豫
wax	蜡；给…打蜡；盈，增大
wean	断奶；戒掉
wearisome	使人感到疲倦或厌倦的
weary	疲劳的，令人厌倦的；厌烦
weasel	黄鼠狼，鼬；逃避
weather	经受住，平安渡过危难
weed	杂草，野草；除草
weld	焊接，熔接；结合
sell-groomed	非常整洁的
welter	混乱，杂乱无章
wheedle	哄骗
whet	磨快；刺激
whiff	轻吹；轻风
whim	多变，怪念头
whimsical	古怪的，异想天开的
whimsy	古怪，异想天开
whine	哀号，号哭
whirlpool	漩涡
whisper	耳语，低声说话
whistle	口哨，口哨声；汽笛声；吹口哨
whittle	削；削减
wholesome	促进健康的
wick	蜡烛芯；灯芯
wicked	极坏的；淘气的
wield	支配，掌权
willful	任性的；故意的
willow	柳树
willowy	苗条的
wilt	使…凋谢，枯萎
wily	狡猾的
wince	避开，畏缩
windbag	饶舌之人
winding	蜿蜒的，迂回的
windy	有风的；长篇累牍的
wink	使眼色
winnow	把的杂质吹掉，扬去
winsome	媚人的，漂亮的
wistful	惆怅的；渴望的
wit	智力；机智
withdraw	撤退，收回；隐居
wither	枯萎，凋零
withhold	扣留，保留
withstand	顶住；经受住
witness	目击者；目击
witticism	妙语，俏皮话
wizened	干皱的，干巴巴的
wobble	动摇；犹豫
woe	悲痛，苦难
woo	向求爱；争取…的支持
worship	崇拜，敬仰
wrangler	口角者，争论者
wrench	扭，拧；扳钳，扳手
wretched	可怜的
wrinkle	皱纹；窍门
wrist	腕，腕关节
writ	命令状，书面命令
wrought	做成的，精炼的
wry	扭曲的；冷嘲性幽默的
xenophobe	惧外者
xerophyte	旱生植物
yacht	帆船，游艇
yarn	纱线
yawn	打呵欠
yearn	盼望，渴望
yeast	酵母；兴奋
yielding	弯曲自如的；柔顺的
yoke	牛轭；把…套上轭
yokel	乡巴佬
zealotry	狂热行为
zenith	天顶；极点
zephyr	和风；西风
zest	刺激性；热心，兴奋
zigzag	之字形；弯弯曲曲地行进
zone	分成区
abase	降低自己，贬抑，使卑下
abduct	绑架，拐走
abnegation	放弃；自我牺牲
aboriginal	原始居民，土著
abortive	无结果的，失败的
abound	充满；富于
abrupt	突然的，意外的；唐突的
abstinent	饮食有毒的，有节制的，禁欲的
acarpous	不结果实的
acerbity	涩，酸，刻薄
achromatic	非色彩的，无色的
acronym	首字母缩略表
actuarial	精算的，保险计算的
actuate	驱使，激励
addle	使腐坏；使混乱
adduce	给予；举出
adjudicate	充当裁判；判决
adlib	临时讲话，即兴表演
advert	注意，留意
aeronautics	航空学
aftermath	事件的后果，余波
agape	大张着的
aghast	惊骇的，吓呆的
ailment	疾病
albino	白化病者，白化变种
alliterate	押头韵
almond	杏树，杏仁
alms	施舍物，救济品
ambience	环境，气氛
ambrosial	芳香的，特别美味的
ambulatory	步行的
amethyst	紫水晶
amiss	有毛病地，出差错地
amoral	与道德无关的
amputate	截肢
anemic	贫血的，患贫血病的
anodyne	止痛药
antedate	写上较早日期；早于
anthropoid	像人类的；类人猿
aperture	孔隙，窄的缺口
apothegm	格言，警句
apotheosis	神话；典范
appendage	附加物
aquiline	鹰的，似鹰的
arachnid	蜘蛛类节肢动物
archer	弓箭手，射手
arraign	传讯；指责
artillery	大炮；炮兵
asinine	愚笨的
askance	侧目而视，瞟
askew	歪斜的
asphyxia	窒息
astigmatic	散光的，乱视的
atheism	无神论，不信神
atone	赎罪，补偿
attire	穿着；装饰；好衣服
attrition	摩擦，磨损
auger	螺丝钻，钻孔机
augmentation	增加
aureole	日冕，光轮
auricular	耳的
automation	自动装置
avowal	声明
avuncular	伯父的
azure	天蓝色；蔚蓝的
bacchanal	狂欢会
backslide	故态复萌
backwater	死水；闭塞地区
baffle	使困惑，难倒
balky	停止不前的；倔强的
bamboozle	欺骗，隐瞒
bandy	来回抛球；轻率谈论
baron	贵族；巨头
barrister	讼务；律师
bassoon	低音管，巴松管
bather	入浴者，浴疗者
bauble	花哨的小玩意儿；没价值的东西
bawl	大叫，大喊
beatific	祝福的，快乐的
beckon	召唤某人，示意
bedizen	把…装饰得艳丽而俗气
bedraggled	弄湿的；凌乱不堪的
beet	甜菜
befuddle	使迷惑，使为难；使酒醉昏迷
beget	产生，引起
beguile	欺骗，诱骗
behold	目睹，看见
beholden	感激某人的；欠人情的
belch	打嗝；喷出
belongings	所有物，财产
bemused	茫然的，困惑的
bereave	丧亲，夺去
berserk	狂怒的，疯狂的
betoken	预示，表示
bibulous	高度吸收的；嗜酒的
biennial	两年一次的
bilious	胆汁质的；坏脾气的
billow	巨浪；翻腾
blackball	投反对票以阻止
blackmail	敲诈，勒索
blare	高声鸣叫
blase	厌倦享乐的，冷漠的
bleachers	露天座位
bloated	肿胀的；傲慢的
blossom	花；开花
bludgeon	大头棒
bluff	虚张声势
bode	预示
boding	凶兆，前兆，预感；凶兆的
bohemian	放荡不羁的
bombardment	炮炸，炮轰
bonhomie	好性情，温和，和蔼
boo	作嘘声，嘘，用嘘声表示不满、蔑视或反对
botch	弄坏某事
bottleneck	瓶颈口，交通易阻塞的狭口
bough	粗大的树枝或树干
bounteous	慷慨的；丰富的
bovine	牛的；迟钝的
bowdlerize	删除，删改
bower	凉亭，树荫下凉快之处
brackish	略咸的；不好吃的
brattish	讨厌的，宠坏的，不礼貌的
brawny	强壮的
bray	大声而刺耳地发出
breezeway	有屋顶的通路
brim	边，缘；盈满
brindled	有棕色斑纹的
brocade	织锦
broil	烧烤
brooch	胸针
browse	吃嫩叶或草；嫩叶；嫩芽
bubble	起泡；气泡，水泡
buckle	皮带扣环；扣紧
buffer	缓冲，为…充当缓冲器
bugaboo	吓人的东西；妖怪
buggy	轻型马车；婴儿车
bullion	金条，银条
bumble	说话含糊；拙劣地做
bump	碰撞；碰撞声
burrow	挖掘，钻进，翻寻
buxom	体态丰满的
cachet	赞同的标志，优越的标志；印章；胶囊
cactus	仙人掌
cadaver	尸体
cadence	抑扬顿挫；节奏，韵律
calibre	口径；品德，才能
callus	老茧，胼胝
canard	谣言，假新闻
canker	溃疡病；祸害
cantata	清唱剧，大合唱
capacious	容量大的，宽敞的
caper	雀跃，欢蹦
capitalize	资本化，获利，利用
capitation	人头税
capsize	使船翻；倾覆
carat	克拉；开
careen	倾斜；使倾斜
carnage	大屠杀，残杀
carpentry	木工工作
cascade	小瀑布
cautionary	劝人谨慎的，警戒的
cavalcade	骑兵队伍
celerity	快速，迅速
celibate	独身者
cemetery	坟墓，公墓
centrifugal	离心的
centripetal	向心的
cephalic	头的，头部的
chasten	改正；磨练
checkered	盛衰无常的
chic	漂亮的，时髦的
chirp	唧唧叫
chore	家务琐事；讨厌的工作
chortle	开心地笑
chunk	短厚块状物；大量
ciliate	有纤毛的；有睫毛的
cineaste	影迷，热衷于电影的人
circumlocutory	委婉曲折的，迂回的
citation	引证，引用文，传票
clairvoyant	透视的，有洞察力的
clench	握紧；咬紧
cliche	陈腐的
closed-minded	倔强的，顽固的
closure	关闭；终止
cloy	生腻，吃腻
coffer	保险柜
cognate	同词源的；同类的
cognomen	姓，名字
colloquy	交谈，会谈
colt	小熊驹；新手
comestible	食物，食品；可吃的
commiserate	同情，怜悯
complexion	肤色；外表特征
complicity	合谋，串通
comport	举止
compulsory	强制性的，命令性的
concentric	有同一中心的
concoct	调制；捏造
condign	罪有应得的；适宜的
condiment	调味品，作料
condole	向…吊慰
condor	秃鹰；神鹰
confidant	心腹朋友，知己，密友
congenital	先天的，天生的
conjugal	婚姻的，夫妻之间的
connubial	婚姻的，夫妻的
consecrate	用作祭祀，献给；使神圣
consonance	一致，调和；和音
consort	结交，配对；配偶
conspectus	概要，大纲
constringe	使收缩，使收敛，压缩
contumacy	抗命，不服从
contumely	无礼，傲慢
convene	集合
convoy	护航，护送
cordial	热诚的；兴奋剂
cornet	短号；圆锥形蛋卷
corny	平淡无奇的；乡巴佬的
corporal	肉体的，身体的
corpulent	肥胖的
corpus	全集，全部资料
coruscate	闪亮
cosy(cozy)	温暖而舒适的
counterpoise	平均，平衡
coven	女巫的集会
crafty	狡诈的；熟练的
crag	悬崖，峭壁
credo	信条
crepuscular	朦胧的，微明的
crevice	缺口，裂缝
crinkle	变皱；皱纹
cripple	跛子；残废
croon	低声歌唱
crotchety	脾气坏的
crypt	地下室，地窖
cuddle	搂抱，拥抱
cuff	袖口
culprit	犯罪者
cumber	拖累，妨碍
curd	凝乳
curfew	宵禁
currish	下贱的；杂种的
cursive	草书的
curvaceous	婀娜多姿的；曲线的
cygnet	小天鹅
cynosure	注意的焦点
dalliance	虚度光阴；调情
damn	严厉地批评，谴责；该死的
damper	起抑制作用的因素；节气阀，断音装置
dangle	摇摆，悬荡；悬而未定，使不定地悬着或一直没有解决
dank	阴湿的，阴冷的
dastard	懦夫，胆小的人
daub	涂抹；乱画
daubster	拙劣的画家
daze	使茫然，使眩晕
debar	阻止
debility	衰弱，虚弱
debonair	迷人的；友好的
decamp	离营；匆忙而秘密地离开
decant	轻轻倒出
decentralize	分散，权力下放
declassify	撤销保密
declination	倾斜；衰微
decoy	诱骗
decree	命令，法令；颁布命令
defalcate	盗用公款
defame	诽谤，中伤
defoliant	脱叶剂，落叶剂
defoliate	落叶
deforest	采伐森林，清除树林
defray	付款
defunct	死亡的
delectation	享受，愉快
demarcate	划分，划界
demeanour	举止，行为
demented	疯狂的
demure	严肃的，矜持的
denominate	命名，取名
denunciate	公开指责，公然抨击，谴责
deportment	风度，举止
deposit	存放；使淤积
depredation	劫掠，蹂躏
depressant	有镇静作用的；镇静剂
depute	派…为代表或代理
deputize	代替某人行事或说话
derangement	精神错乱
desalinize	除去盐分
desideratum	必需品
designate	指明，指出；任命，指派；已任命但还未就职的
desirous	渴望的
desolate	荒凉的，被遗弃的
desperado	亡命之徒
despoil	夺取，抢夺
destitute	贫乏的；穷困的
destructible	可破坏的
desuetude	废止，不用
detestable	嫌恶的，可憎的，可厌恶的
detonate	爆炸，引爆
detract	减去，贬低；转移
devolve	移交给某人
diabolic	恶魔的；魔鬼性格的
dictator	独裁者
dictum	格言，声明
dietetics	饮食学，营养学
dignitary	显要人物
dilapidation	破旧，荒废
diminuendo	渐弱
diocesan	主教管区的
dipsomania	嗜酒症
disavow	否认，否定，抵赖
disband	解散
disclaimer	否认，拒绝
disembody	使脱离实体，使脱离现实
disfranchise	剥夺…的权利
dishearten	使…灰心
dishevel	使蓬乱，使头发凌乱
disheveled	凌乱的
disintegrate	分裂成小片，瓦解
disport	玩耍，嬉戏
disquisition	长篇演讲，专题论文
dissection	解剖，剖析
dissociate	分离，游离，分裂
distain	贬损，伤害名誉
distal	远离中心的，末梢的
distention	膨胀
distrait	心不在焉的
ditch	沟，沟渠，壕沟
divagate	离题；飘泊
dock	剪短
doggo	隐藏着
dotage	老年糊涂；溺爱
double-cross	欺骗，出卖
dowdy	不整洁的，过旧的
dowry	嫁妆，妆奁
doze	瞌睡，假寐
dribble	往下滴、淌
drollery	笑谈，滑稽
ductile	易拉长的，易变形的；可塑的
dulcet	美妙的
dullard	愚人，笨蛋
dumbfound	使…惊讶发愣
dunce	笨人
eaglet	小鹰
earthshaking	极其重大或重要的
ecdysis	蜕皮；换羽毛
eclat	辉煌成就
eclogue	田园诗，牧歌
ecumenical	世界范围的
edict	法令；命令
eerie	可怕的，阴森恐怖的
effeminate	缺乏勇气的，柔弱的
effigy	模拟像
egoism	利己主义
ejaculate	突然叫出或说出
electorate	选民，选区；有选举权者
elixir	万灵药，长生不老药
emasculate	削弱；阉割；柔弱的
embankment	堤岸，路基
embitter	使痛苦，使难受
emblazon	以纹章或其他方式装饰
embodiment	化身，体现
embroil	牵连，卷入纠纷
embryonic	胚胎的；萌芽期的
emerald	翡翠；翠绿色的
emolument	报酬，薪水
empyrean	天空，天神居处
encipher	译成密码
encyclopedic	广博的，知识渊博的
endue	赋予
engrossment	正式誊写的文件；专注
ennoble	授予爵位，使高贵
enshrine	奉为神圣
enslave	奴役
ensnare	诱入陷阱，进入罗网
enthrall	迷惑，迷住
entourage	随从；环境
entrench	挖壕沟；确立
entwine	使缠绕，交织
environs	郊外，郊区
envisage	正视；想像
epicurean	好享乐的；享乐主义的
episode	一段情节
equestrian	骑师；骑马的
escort	护送；护送者
estrange	使疏远
estuary	河口，三角洲
eugenic	优生的
even-tempered	性情平和的；不易生气的
everlasting	永恒的，持久的，无止境的，耐用的
eviscerate	取出肠及内脏
exceptionable	引起反感的
excerpt	摘录，选录，节录
exchequer	国库；财源
excogitate	认真想出
excruciate	施酷刑，拷问，折磨
execration	憎恨，厌恶
exhume	掘出，挖掘
exiguous	太少的，不足的
expatiate	细说，详述
expatriate	驱逐出国
expiation	赎罪，补偿
explicable	可解释的
expropriate	充公；没收
expulsion	驱逐，开除
extradite	引渡回国，拿获归案
extrinsic	外来的，外在的，外部的
extrude	挤出，逐出；突出
exultant	非常高兴的，欢跃的
fabulous	难以置信的；寓言里的
facsimile	复制本，摹本
factitious	人为的，不真实的
fag	若干；苦工
fail-safe	自动防故障装置
fainthearted	懦弱的，无精神的；胆小的
fake	伪造；佯装
falsify	篡改；说谎
fanfare	夸耀性游行；嘹亮的喇叭声
fantasia	幻想曲；组合乐曲
farrow	生产；一窝小猪
fascia	饰带；招牌
fascinate	迷惑，迷住
fealty	效忠
febrile	发烧的，热病的
feisty	活跃的；易怒的
felicitate	祝贺，庆祝
feline	猫科的
fencing	剑术，击剑法
ferocious	凶猛的，残暴的
ferry	渡船，渡口；运送
festal	节日的；欢乐的
fetish	神物，偶像
fiend	恶魔；魔鬼
filament	灯丝；细丝
filch	偷
filial	子女的
fillet	束发带；鱼肉片
finable	应罚款的
finery	华丽、优雅的服装或装饰
firebrand	燃烧的木块；引起动乱的人
fishery	渔场；渔业
fissile	易分裂的
fitful	一阵阵的；不安的
flabby	松软的；意志薄弱的
flagellate	鞭打，鞭笞
flair	天赋，本领，才华
flannel	法兰绒
flatulence	肠胃气胀
flavoring	香料，调味品
flay	剥皮；榨取；严厉指责
fleck	斑点；微粒
fleece	生羊皮，羊毛；骗取
fleet	快速的；消磨，疾驰；飞逝，掠过
flick	轻打，轻弹
flicker	闪烁，摇曳
floppy	松软的；衰弱的
florescence	繁花时期
flunk	考试不及格
fodder	草料
fondle	抚弄，抚摸
foothold	立足点，根据地
footle	胡闹；浪费
fop	花花公子
foray	突袭，偷袭
forebear	祖宗，祖先
foreclose	排除；取消抵押品的赎回权
forensic	法庭的，辩论的
foreword	前言，序
forfeiture	丧失
forlorn	孤独的；凄凉的
formative	形成的，影响发展的
forswear	誓绝，放弃
fort	要塞，城堡
fractional	微小的，极小的
fraternal	兄弟的；友善的
fraternity	同类人；友爱
fray	吵架，打斗；磨破
freak	怪物，奇事；反常的
fretwork	格子细工
frisk	欢跃；娱乐
fritter	愚蠢地浪费
frolic	嬉戏；雀跃
frolicsome	快活的，欢乐的
frowzy	不整洁的，污秽的
fructify	结果实；成功
funereal	适于葬礼的；忧郁的
furbish	磨光，刷新
fury	狂怒，狂暴，激烈；狂怒的人；复仇女神
fustian	空洞的话，无意义的高调
gab	饶舌，爱说话；空谈，瞎扯；闲逛，游荡
gabble	急促而不清楚地说
gaiety	欢乐，快活
gale	狂风；一阵
gallop	飞奔；疾驰
gallows	绞刑架，绞台
gamut	全音阶；全部知识
gander	雄鹅；笨人；闲逛
gangling	瘦长难看的
gangly	身材瘦长的
gangrene	坏疽
garland	花环，奖品
garret	阁楼，顶楼小室
gastric	胃的，胃部的
gastritis	胃炎
gastronomy	美食法
gauche	笨拙的，不会社交的
gaunt	憔悴的，瘦削的
genuflect	屈膝半跪；屈从
gestate	怀孕，孕育
gesticulate	做手势表达
ghastly	可怕的，惊人的，惨白的
girdle	腰带；转绕物；环绕
glamorous	迷人的，富有魅力的
gleam	亮光，闪光；使闪光
glee	欢喜，高兴
glimpse	瞥见，看一眼
glitter	闪烁，闪耀；灿烂的光华；诱惑力，魅力
gloaming	黄昏，薄暮
glorify	吹捧，美化
gloss-over	潦草地或敷衍地处理某事
gnat	对小事斤斤计较，琐事
gnawing	痛苦的，折磨人的
gnome	地下宝藏的守护神，地精；格言
gnomic	格言的，精辟的
goggle	护目镜；睁眼看
gorgeous	美丽的；极好的
gormandize	拼命吃，贪吃
gosling	小鹅；年轻无知的人
governance	统治，支配
granary	谷仓，粮仓
granule	小粒，微粒
gratis	不付款的，免费的
greenhorn	初学者；容易受骗的人
gridiron	烤架；橄榄球场
grotesque	怪诞的，古怪的
growl	咆哮，吼叫
grudge	吝啬；不满
gruesome	令人毛骨悚然的，恶心的
gruff	粗野的
grumpy	脾气暴躁的
gulch	深谷，峡谷
gull	海鸥；易上当的人；欺骗
gusto	爱好；兴致勃勃
gutless	没有勇气的，怯懦的
guttle	狼吞虎咽
gynaecocracy	妇女当政
habitable	可居住的
haft	柄，把柄
haggard	憔悴的，消瘦的
haggle	讨价还价
hamstring	切断腿筋使成跛腿，使残废
hardbitten	不屈的，顽强的
hardihood	大胆，莽撞
hassle	激烈的辩论
hatchet	短柄小斧
hawker	沿街叫卖之小贩
hawser	粗绳，大钢索
hearsay	谣传，道听途说
heave	用力举
hedgehog	刺猬
hedonic	享乐的；享乐主义学说
hedonism	享乐主义；享乐
heliotrope	向阳植物
helm	舵，驾驶盘
helot	奴隶；受人轻视之人
helve	斧柄
henpecked	顺从妻子的，惧内的
hepatitis	肝炎
herald	传令官；预示；先驱
herdsman	牧人
heyday	全盛时期，青春期
hilt	柄
hinterland	内地；穷乡僻壤
hippopotamus	河马
hoarse	嘶哑的，粗哑的
hobble	蹒跚；跛行
holcaust	大屠杀，浩劫
holograph	亲笔信
homely	朴素的；不漂亮的
homily	说教，训诫
homograph	同形异义字
horology	测时法，钟表制造术
horrendous	可怕的，令人恐惧的
howler	嚎叫的人或动物；滑稽可笑的错误
hubbub	嘈杂，喧哗
huddle	挤成一堆；一对人
hunk	大块
hut	简陋的房子，棚
hygiene	卫生学；卫生
hypodermic	皮下注射的
icing	糖衣，糖霜
idol	神像；偶像
idolatrize	奉为偶像，盲目崇拜
idolize	将…当作偶像崇拜；极度喜爱或仰慕
illegible	难读的，难认的
illiberal	气量狭窄的
illustrious	著名的，显赫的
imbecile	心智能力极低的人
immortal	不朽的，流芳百世的
impend	进行威胁；即将发生
imperil	使陷于危险中，危及
imprecation	祈求，诅咒
imputation	归咎，归罪
impute	归咎于
incertitude	疑惑，不确定
incisor	门牙
incongruent	不协调的，不和谐的，不合适的
incorporeal	无实体的，非物质的 ，灵魂的
incrustation	硬壳，外层
indite	写，赋
inebriate	使…醉；酒鬼，酒徒
ineffaceable	抹不掉的
ineligible	没有资格的
inexpedient	不适当的，不明智的
inexpiable	不能补偿的
infatuate	使迷恋；使糊涂
infatuated	迷恋的
infernal	地域的；可恶的
infliction	痛苦，刑法
informer	告发者，告密者
ingress	进入
insane	疯狂的
insanity	疯狂；愚昧
inscription	铭刻；题字
insolate	使暴晒
insouciance	漠不关心，漫不经心
installment	分期付款；安装
insuperable	难以克服的
interdisciplinary	跨学科的
interlace	编织；交错
interlocutor	对话者，谈话者
interlope	干涉他人之事
interloper	闯入者
interstice	细裂缝，空隙
interweave	交织，编结
intestate	未留遗嘱的
intestine	肠；内部的
intumescence	肿大，肿胀
investiture	任职仪式，授权仪式
invigilate	监考
invoice	发票，发货清单；给开发票
iridescence	彩虹色
irradiate	使明亮，生辉
iterate	重做，反复重申
jamboree	快乐、喧闹的集会
jape(at)	开玩笑或讽刺
jesting	滑稽的；爱开玩笑的
jitters	紧张不安
jolly	欢乐的，快乐的
jubilant	喜悦的，欢呼的
juncture	危机关头；结合处
jurisprudence	法律学，法学
kaleidoscopic	千变万化的
kiosk	售货亭；电话亭
knoll	小山，小圆丘
laceration	撕裂；裂口
lackey	卑躬屈膝者，走卒
laggard	缓慢的；落后的；落后者
lamentable	令人惋惜的，悔恨的
laminate	切成薄板
lapidary	宝石工，宝石专家
latch	门闩；用门闩闩牢
layman	普通信徒；门外汉
layover	旅途中的短暂停留
lean	倾斜；斜靠；瘦骨嶙峋的
leash	绳子
leeward	顺风的
leeway	余地
legible	易读的
lesion	伤口，损害
lexical	词汇的；词典的
lexicon	词典
libelous	诽谤的
libido	性欲；生命力
licit	不禁止的，合法的
ligature	绑缚之物
limbo	不稳定，中间状态
lineal	直系的，嫡系的
lineaments	特征；轮廓
lingual	舌的；语言的
littoral	海岸的；海滨，沿海地区
livid	青灰色的；苍白的；狂怒的
loam	沃土
locust	蝗虫；贪吃的人
locution	语言风格；惯用语
loft	阁楼，顶楼
logjam	浮木阻塞；阻塞状态；僵局
loiter	游荡；徘徊
lore	只是；传说
lout	粗人
lowbred	粗野的，鲁莽的
luricious	光滑的；好色的
lucre	钱，利益
lucubrate	刻苦攻读，埋头苦干
lure	诱惑力；引诱
luscious	美味的；肉感的
lusty	精力充沛的
lynch	私刑处死
mackintosh	雨衣；防水胶布
maculate	有斑点的
